Unique ID,Abbreviation,Parent Agency,Bureau,Date,Fedscope ID,Capacity Score,Capacity Score SD,Capacity Upperbound,Capacity Lowerbound
HUCC-200109,HUDGC,Department of Housing and Urban Development,Office of the General Counsel,2001,HUCC,0.462626866,0.737212113,-0.985590539,1.914743923
HUDD-200109,OCPD,Department of Housing and Urban Development,Assistant Secretary for Community Planning and Development,2001,HUDD,-1.099815078,0.72767781,-2.517893326,0.330583377
HUEE-200109,OFHEO,Department of Housing and Urban Development,Assistant Secretary for Fair Housing and Equal Opportunity,2001,HUEE,-0.260013843,0.732481347,-1.690050511,1.178331872
HUGG-200109,HUDIG,Department of Housing and Urban Development,Office of the Inspector General,2001,HUGG,0.066144852,0.726995818,-1.356540017,1.486325296
HULL-200109,OHHLHC,Department of Housing and Urban Development,Office of Healthy Homes and Lead Hazard Control,2001,HULL,0.180257427,0.733843649,-1.229764017,1.623845474
HUMM-200109,HOUS,Department of Housing and Urban Development,Assistant Secretary for Housing,2001,HUMM,-0.741975943,0.719027121,-2.147884028,0.672903756
HUOO-200109,OFHEnt,Office of Federal Housing Enterprise Oversight,,2001,HUOO,0.459996164,0.73484486,-0.968684719,1.903394656
HUPP-200109,OPIH,Department of Housing and Urban Development,Office of Public and Indian Housing,2001,HUPP,-0.819728982,0.722573343,-2.217566739,0.603644195
HURR-200109,HUDPOL,Department of Housing and Urban Development,Policy Development and Research,2001,HURR,0.455382174,0.735833759,-0.982711093,1.897159659
HUTT-200109,GNMA,Department of Housing and Urban Development,Government National Mortgage Association,2001,HUTT,-0.669529278,0.732757203,-2.094687958,0.754615335
IB00-200109,BBG,Agency for Global Media,,2001,IB00,-0.660452855,0.73690102,-2.094665104,0.787410196
IF00-200109,IAF,Inter-American Foundation,,2001,IF00,0.343346043,0.732663136,-1.083911567,1.772330399
IN-DEP-200109,INT,Department of the Interior,,2001,IN-DEP,-0.421012958,0.729813438,-1.846621229,0.9977116
IN01-200109,DOISEC,Department of the Interior,Office of the Secretary,2001,IN01,-0.362983442,0.722265857,-1.789489621,1.063042743
IN05-200109,BLM,Department of the Interior,Bureau of Land Management,2001,IN05,-0.765081237,0.729374079,-2.19403837,0.660803535
IN06-200109,BIA,Department of the Interior,Bureau of Indian Affairs,2001,IN06,-1.501539716,0.727713156,-2.935304323,-0.076304832
IN07-200109,BOR,Department of the Interior,Bureau of Reclamation,2001,IN07,-0.304923978,0.730864594,-1.73375256,1.135511025
IN08-200109,USGS,Department of the Interior,United States Geological Survey,2001,IN08,0.046022348,0.72281994,-1.382366337,1.457008926
IN10-200109,NPS,Department of the Interior,National Park Service,2001,IN10,-0.795722238,0.71777164,-2.200683362,0.60090521
IN15-200109,USFWS,Department of the Interior,United States Fish and Wildlife Service,2001,IN15,0.081541778,0.723062521,-1.327877695,1.484859527
IN21-200109,DOIGC,Department of the Interior,Office of the Solicitor,2001,IN21,0.807054085,0.723683593,-0.625149081,2.21430834
IN22-200109,OSMR,Department of the Interior,Office of Surface Mining Reclamation and Enforcement,2001,IN22,-0.138720402,0.721586451,-1.570229085,1.283404924
IN23-200109,MMS,Department of the Interior,"Bureau of Ocean Energy Management, Regulation, and Enforcement",2001,IN23,0.113894191,0.730450764,-1.319961131,1.532807619
KS00-200109,CNCS,Corporation for National and Community Service,,2001,KS00,-0.521521945,0.726519487,-1.947063428,0.914303117
LF00-200109,FEC,Federal Election Commission,,2001,LF00,0.138828515,0.736632273,-1.294730399,1.593174483
MC00-200109,FMC,Federal Maritime Commission,,2001,MC00,-0.194689271,0.731599928,-1.618045069,1.231865578
NF00-200109,NSF,National Science Foundation,,2001,NF00,0.694298032,0.730008673,-0.727222685,2.111426266
NL00-200109,NLRB,National Labor Relations Board,,2001,NL00,0.473195815,0.72733779,-0.961539618,1.888456906
NM00-200109,NMB,National Mediation Board,,2001,NM00,-0.284817056,0.730883515,-1.729981169,1.144295684
NN-DEP-200109,NASA,National Aeronautics and Space Administration,,2001,NN-DEP,0.678675978,0.727684749,-0.774673642,2.085755641
NQ00-200109,NARA,National Archives and Records Administration,,2001,NQ00,-0.952990026,0.71949992,-2.372902043,0.451376693
NU00-200109,NRC,Nuclear Regulatory Commission,,2001,NU00,0.915902713,0.729006069,-0.510060901,2.340789351
NV-DEP-200109,NAVY,Department of Defense,Navy,2001,NV-DEP,-0.542245025,0.735189488,-1.960887603,0.895206291
OM00-200109,OPM,Office of Personnel Management,,2001,OM00,-0.702834914,0.7356741,-2.119981387,0.742339335
OS00-200109,OSHRC,Occupational Safety and Health Review Commission,,2001,OS00,0.486916113,0.718108473,-0.920950532,1.892342953
PU00-200109,PC,Peace Corps,,2001,PU00,-2.181088471,0.719769004,-3.57243595,-0.776023701
QQ00-200109,ODNCP,Executive Office of the President,Office of National Drug Control Policy,2001,QQ00,0.070773898,0.723992856,-1.340805826,1.482320423
RF00-200109,FRTIB,Federal Retirement Thrift Investment Board,,2001,RF00,-0.100108568,0.735581806,-1.540875474,1.326929631
RR00-200109,RRB,Railroad Retirement Board,,2001,RR00,-0.822221777,0.724862082,-2.235025409,0.609555853
RS00-200109,FMSHRC,Federal Mine Safety and Health Review Commission,,2001,RS00,0.545644187,0.724874022,-0.860698015,1.970203977
SB00-200109,SBA,Small Business Administration,,2001,SB00,-0.649633883,0.730703691,-2.078241208,0.771989578
SE00-200109,SEC,Securities and Exchange Commission,,2001,SE00,0.910361354,0.721897797,-0.497789371,2.33074801
SK00-200109,CPSC,Consumer Product Safety Commission,,2001,SK00,0.192643298,0.719635812,-1.218331575,1.598679983
ST00-200109,STAT,Department of State,,2001,ST00,-0.246332075,0.73762211,-1.690755658,1.203453232
SZ00-200109,SSA,Social Security Administration,,2001,SZ00,-0.94542997,0.733257404,-2.388984209,0.492278053
TB00-200109,NTSB,National Transportation Safety Board,,2001,TB00,0.171017851,0.733098618,-1.278533773,1.59601383
TC00-200109,USITC,United States International Trade Commission,,2001,TC00,0.303476794,0.72917297,-1.112882992,1.735421012
TD-DEP-200109,DOT,Department of Transportation,,2001,TD-DEP,-0.439234717,0.727577479,-1.877052245,0.974847715
TD01-200109,DOTSEC,Department of Transportation,Office of the Secretary,2001,TD01,0.443460691,0.730716534,-0.984446552,1.888096932
TD02-200109,TDCG,Department of Transportation,United States Coast Guard,2001,TD02,-0.784999182,0.723253718,-2.210796294,0.634834516
TD03-200109,FAA,Department of Transportation,Federal Aviation Administration,2001,TD03,-0.469339757,0.724746681,-1.892852269,0.961921169
TD04-200109,FHWA,Department of Transportation,Federal Highway Administration,2001,TD04,0.262246394,0.72886802,-1.175273583,1.687437386
TD05-200109,FRA,Department of Transportation,Federal Railroad Administration,2001,TD05,-0.726849065,0.730802524,-2.172922836,0.702336785
TD06-200109,STLSDC,Department of Transportation,Saint Lawrence Seaway Development Corporation,2001,TD06,-1.337022955,0.731739442,-2.787988778,0.084526916
TD09-200109,FTA,Department of Transportation,Federal Transit Administration,2001,TD09,0.071413604,0.725869551,-1.353043867,1.50042309
